City_ID,City,Country,Max Temperature,Description,Latitude (Deg),Longitude (Deg),Hotel Name
0,cidreira,BR,70.59,clear sky,-30.1811,-50.2056,Hotel Castelo
4,ponta do sol,PT,65.01,broken clouds,32.6667,-17.1,Hotel do Campo
5,mar del plata,AR,69.82,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,wahiawa,US,77.79,few clouds,21.5028,-158.0236,Aloha Wahiawa
7,rikitea,PF,75.94,overcast clouds,-23.1203,-134.9692,People ThankYou
8,port alfred,ZA,69.85,light rain,-33.5906,26.891,The Halyards Hotel
9,kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
10,san patricio,US,65.08,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
13,port elizabeth,ZA,66.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
15,ushuaia,AR,60.46,broken clouds,-54.8,-68.3,Albatros Hotel
17,taltal,CL,65.88,clear sky,-25.4,-70.4833,Residencial Karime
19,alyangula,AU,71.47,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
20,airai,TL,61.63,overcast clouds,-8.9266,125.4092,Juvinal Martin
24,sao filipe,CV,75.81,overcast clouds,14.8961,-24.4956,Hotel Xaguate
27,westport,US,62.29,overcast clouds,41.1415,-73.3579,Norwalk Inn
31,carupano,VE,78.13,overcast clouds,10.6678,-63.2585,Hotel La dorada
34,lompoc,US,67.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
36,hermanus,ZA,62.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,san vicente,AR,79.48,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
41,chuy,UY,69.55,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
50,yangambi,CD,73.11,overcast clouds,0.8102,24.4336,
57,bukama,CD,70.45,broken clouds,-9.2,25.85,
58,tayu,ID,77.27,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
60,padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
61,port lincoln,AU,67.55,few clouds,-34.7333,135.8667,Port Lincoln Hotel
62,grao mogol,BR,69.94,broken clouds,-16.5594,-42.8897,Pousada do Eti
65,hilo,US,78.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
69,naze,JP,62.62,clear sky,28.3667,129.4833,Shishime Hotel
70,ixtapa,MX,79.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
71,imbituba,BR,76.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
73,curup,ID,68.31,overcast clouds,-3.4667,102.5333,Ayi The Costel
