Country,City,Cloudiness (%),Humidity (%),Max Temperature,Latitude (Deg),Longitude (Deg),Wind Speed (mph),Description
BR,cidreira,6,70,70.59,-30.1811,-50.2056,8.88,clear sky
US,emmett,100,64,42.49,43.8735,-116.4993,7,overcast clouds
US,jamestown,90,91,58.32,42.097,-79.2353,15.99,overcast clouds
IN,sarahan,100,29,31.62,31.5167,77.8,12.33,overcast clouds
PT,ponta do sol,55,76,65.01,32.6667,-17.1,5.55,broken clouds
AR,mar del plata,20,90,69.82,-38.0023,-57.5575,24,few clouds
US,wahiawa,20,70,77.79,21.5028,-158.0236,16.11,few clouds
PF,rikitea,90,75,75.94,-23.1203,-134.9692,16.53,overcast clouds
ZA,port alfred,100,89,69.85,-33.5906,26.891,6.67,light rain
ZA,kruisfontein,100,68,63.88,-34.0033,24.7314,2.64,overcast clouds
US,san patricio,98,29,65.08,28.017,-97.5169,18.9,overcast clouds
CO,simiti,56,53,91.04,7.9579,-73.9436,1.97,broken clouds
US,kapaa,75,74,80.58,22.0752,-159.319,5.01,broken clouds
ZA,port elizabeth,100,79,66.09,-33.918,25.5701,5.66,overcast clouds
RU,nikolskoye,100,88,26.49,59.7035,30.7861,9.71,overcast clouds
AR,ushuaia,75,51,60.46,-54.8,-68.3,4.61,broken clouds
NC,noumea,95,99,85.98,-22.2763,166.4572,3.31,overcast clouds
CL,taltal,7,67,65.88,-25.4,-70.4833,7.18,clear sky
RU,yurino,32,95,2.52,56.2942,46.3039,4.61,scattered clouds
AU,alyangula,13,100,71.47,-13.8483,136.4192,0,few clouds
TL,airai,98,89,61.63,-8.9266,125.4092,0.81,overcast clouds
NZ,tuatapere,9,51,54.82,-46.1333,167.6833,5.75,clear sky
RU,severo-kurilsk,100,97,33.06,50.6789,156.125,17.56,snow
CA,yellowknife,75,91,2.41,62.456,-114.3525,16.11,light snow
CV,sao filipe,95,70,75.81,14.8961,-24.4956,7.92,overcast clouds
RU,uinskoye,100,92,8.87,56.8817,56.5813,6.2,overcast clouds
RU,khandyga,86,100,-34.08,62.6667,135.6,2.51,overcast clouds
US,westport,90,96,62.29,41.1415,-73.3579,1.01,overcast clouds
NZ,mataura,41,48,54.48,-46.1927,168.8643,3.2,scattered clouds
IS,grindavik,75,87,43.27,63.8424,-22.4338,21.85,broken clouds
